"","Kansas","Missouri","Nebraska","Arkansas","Oklahoma"
"Jul.12","4850","9893","3523","6453","9175"
"Aug.12","4476","8786","3286","6162","8199"
"Sep.12","4006","7602","2871","4752","6249"
"Oct.12","3636","6695","2633","4341","5280"
"Nov.12","3880","6768","2340","4629","4790"
"Dec.12","4218","8134","3119","5044","5248"
"Jan.13","4282","8155","3255","5650","5778"
"Feb.13","3562","7138","2907","5139","4911"
"Mar.13","3209","7979","3104","5148","5627"
"Apr.13","3489","6662","2492","3431","5481"
"May.13","3908","6804","2632","4328","6186"
"Jun.13","4343","8169","2997","5482","6899"
"Jul.13","4830","8827","3435","5616","7460"
"Aug.13","4710","8172","3495","6188","7765"
"Sep.13","4044","7355","3144","5455","6559"
"Oct.13","3857","7137","3129","4596","4964"
"Nov.13","3934","7246","3091","4191","5571"
"Dec.13","4305","7983","3425","5099","6471"
"Jan.14","4696","8756","3527","5633","6563"
"Feb.14","4176","7520","3265","5160","5772"
"Mar.14","3731","7494","3315","5447","5435"
"Apr.14","3372","5866","2792","4735","5397"
"May.14","3656","6967","3047","4549","5605"
"Jun.14","4496","7882","3312","5391","6419"
"Jul.14","4906","8551","3623","5607","6416"
"Aug.14","4737","8831","3704","5899","7296"
"Sep.14","3986","6485","3239","5092","5613"
"Oct.14","3866","5847","2906","4856","5024"
"Nov.14","4161","6090","3408","4662","5044"
"Dec.14","3945","7547","3293","4560","5574"
"Jan.15","4008","8151","3393","4537","6386"
"Feb.15","3626","7455","3066","4845","6125"
"Mar.15","3018","6441","3293","4828","5784"
"Apr.15","3230","5661","2968","4331","5342"
"May.15","3745","5793","2902","4774","5613"
"Jun.15","4238","7747","3355","5338","6989"
"Jul.15","4668","8535","3877","6169","8194"
"Aug.15","4244","8173","3783","5854","7490"
"Sep.15","4171","7146","3480","4844","6236"
"Oct.15","3613","6320","3323","3121","5497"
"Nov.15","3254","5831","3028","3089","6048"
"Dec.15","3712","6388","3415","3830","6433"
"Jan.16","4111","7931","3600","5115","6511"
"Feb.16","3837","6523","2979","4182","5432"
"Mar.16","3647","5652","2764","4724","5620"
"Apr.16","3469","5017","2544","4372","5366"
"May.16","3751","5538","2722","4147","6052"
"Jun.16","4508","7529","3152","6007","7273"
"Jul.16","4838","8238","3535","6597","8251"
"Aug.16","4840","8194","3632","6549","7521"
"Sep.16","3530","6530","3029","5539","7161"
"Oct.16","3254","5419","2617","4030","6972"
"Nov.16","3285","5322","2611","4012","6100"
"Dec.16","4531","6718","3341","5170","6396"
"Jan.17","4440","7913","3272","5571","6091"
"Feb.17","3753","6452","2885","4388","5011"
"Mar.17","4170","6847","2786","4116","5684"
"Apr.17","3701","6312","2286","4193","5582"
"May.17","3922","7461","2518","3838","5487"
"Jun.17","4547","7534","3039","4978","6861"
"Jul.17","4943","8613","3569","6516","7879"
"Aug.17","4161","8053","3355","6220","6668"
"Sep.17","4379","6717","2943","5527","6638"
"Oct.17","4151","5921","2757","4857","6228"
"Nov.17","4041","5609","2841","4512","5366"
"Dec.17","4724","7174","3157","6059","6237"
"Jan.18","4904","8171","3249","6294","7113"
"Feb.18","4237","6869","2899","4987","6178"
"Mar.18","4247","6311","3023","4814","6064"
"Apr.18","3438","5790","2779","4847","6622"
"May.18","3978","6913","2877","5433","8093"
"Jun.18","4539","7543","3239","6519","8847"
"Jul.18","4605","8485","3578","7176","8550"
"Aug.18","4574","8204","3310","6909","8701"
"Sep.18","4192","6550","3033","5362","7377"
"Oct.18","4001","6484","2772","5209","5593"
